eaAreaName,easting,gridReference,label,lat,long,measures_label,measure_value,measure_date_time,measure_date,measures_notation,measures_parameter,measures_parameterName,measures_period,measures_qualifier,measures_valueType,stationReference,northing
,617500,TM1750077100,OAKLEY GS GSM,52.348797,1.192003,OAKLEY GS GSM - level-stage-i-15_min-m,0.176,2023-08-09T05:30:00Z,2023-08-09,E23235-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E23235,277100
North East - Yorkshire,403500,,Ripponden,53.666557,-1.948497,Ripponden - level-stage-i-15_min-m,0.163,2023-08-09T18:00:00Z,2023-08-09,F1240-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F1240,418900
,532150,TQ321623,Rainfall station,51.344874,-0.103964,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,287722TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,287722TP,162350
North East - Yorkshire,438207,SE3820728515,Oulton St Aidans,53.751596,-1.422058,Oulton St Aidans - level-stage-i-15_min-m,0.243,2023-08-09T21:15:00Z,2023-08-09,L1751-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L1751,428515
,,SJ5222,Grinshill OBH,,,Grinshill OBH - level-groundwater-i-1_h-mBDAT,13.501,2023-08-09T14:30:00Z,2023-08-09,5005-level-groundwater-i-1_h-mBDAT,level,Water Level,3600,Groundwater,instantaneous,5005,
South West - Wessex,400689,SU0068908568,Loverley Farm,50.876605,-1.99157,,,,,,,,,,,43218,108568
North West - Greater Manchester Merseyside and Cheshire,362830,,Westy,53.390658,-2.560365,,,,,,,,,,,693976,388350
,,SJ4718,Great Wollascott ABH,,,Great Wollascott ABH - level-groundwater-i-1_h-mBDAT,30.5,2023-08-09T21:00:00Z,2023-08-09,2843-level-groundwater-i-1_h-mBDAT,level,Water Level,3600,Groundwater,instantaneous,2843,
,563050,TQ630473,PORTERS LOCK RL,51.202093,0.332504,PORTERS LOCK RL - level-stage-i-15_min-mAOD,17.872,2023-08-09T21:30:00Z,2023-08-09,E573-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E573,147350
,,SJ4065,Queens Park High School,,,Queens Park High School - level-groundwater-i-1_h-m,13.021,2023-08-09T18:00:00Z,2023-08-09,SJ46_109-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SJ46_109,
